t,ax,ay,az
4.45,640,180,-1076
4.55,196,276,-748
4.65,564,260,-944
4.19,24,84,-1072
4.28,-4,96,-1020
4.38,-12,80,-1084
4.48,-8,60,-1076
4.58,-24,76,-1080
4.68,-20,76,-1060
4.78,-24,80,-1064
4.88,-24,76,-1068
4.98,-24,60,-1064
5.08,-24,72,-1104
5.18,-32,72,-1064
5.28,-28,72,-1060
5.38,-20,76,-1068
5.48,-28,56,-1080
5.58,-20,80,-1068
5.69,-24,84,-1076
5.78,-24,76,-1060
5.88,-24,64,-1064
5.98,-24,60,-1064
6.08,-12,80,-1068
6.18,-20,68,-1072
6.28,-48,72,-1068
6.38,-40,68,-1080
6.48,-40,68,-1064
6.58,-20,76,-1072
6.68,-20,60,-1072
6.78,-24,80,-1068
6.88,-20,64,-1072
6.98,-16,56,-1072
7.08,-20,84,-1060
7.18,-24,56,-1064
7.28,-28,60,-1064
7.38,-28,68,-1076
7.48,-20,56,-1064
7.58,-32,48,-1076
7.68,-28,68,-1072
7.78,-28,60,-1064
7.88,-32,60,-1072
7.98,-32,56,-1064
8.08,-40,60,-1072
8.18,-28,68,-1060
8.28,-32,60,-1072
8.38,-40,52,-1068
8.48,-36,68,-1072
8.58,-40,80,-1064
8.68,-28,56,-1076
8.78,-44,64,-1064
8.88,-40,76,-1064
8.98,-36,76,-1080
9.09,-44,56,-1052
9.18,-36,48,-1072
9.28,-32,68,-1076
9.38,-40,68,-1072
9.48,-40,52,-1072
9.58,-44,72,-1076
9.68,-36,68,-1076
9.78,-40,76,-1072
9.88,-36,60,-1080
9.98,-48,76,-1072
10.08,-36,64,-1072
10.18,-44,64,-1072
10.28,-56,24,-1080
10.38,-52,76,-1068
10.48,-40,56,-1056
10.58,-32,56,-1072
10.68,-16,192,-1128
10.78,-96,336,-1464
10.88,104,-180,-916
10.98,172,-700,-552
11.08,-4,-104,-1072
11.18,-100,308,-1208
11.28,-76,92,-1128
11.38,72,300,-520
11.48,124,328,-1680
11.58,84,136,-1684
11.68,-104,596,52
11.78,40,-96,268
11.89,196,-608,-2040
11.99,-24,524,960
12.09,312,-372,-312
12.19,1224,364,-2040
12.29,-752,636,1032
12.39,584,-776,-524
12.49,2040,-572,-1152
12.59,-1020,804,736
12.69,1480,-1224,-728
12.79,1204,-384,-432
12.89,-1372,1160,736
12.99,868,-912,-216
13.09,1468,-416,-392
13.19,-1264,1276,764
13.29,2040,-1564,-320
13.39,668,-64,-120
13.49,-1340,1308,628
13.59,2040,-2040,-176
13.69,-176,384,68
13.79,-744,540,404
13.89,2040,-760,-36
13.99,-252,672,320
14.09,-164,632,444
14.19,888,-820,-1192
14.29,-272,180,-1384
14.39,100,24,-1124
14.49,-112,108,-1060
14.59,-100,148,-988
14.69,-64,156,-996
14.79,-96,144,-1060
14.89,-8,132,-1032
14.99,-4,96,-1056
15.09,8,148,-1048
15.19,12,80,-1072
15.29,8,40,-1052
15.39,-12,36,-1060
15.49,44,-64,-1084
15.59,44,-8,-1068
15.69,56,8,-1056
15.79,32,20,-1064
15.89,36,0,-1088
15.99,32,52,-1048
16.09,16,48,-1044
16.19,24,44,-1088
16.29,28,48,-1080
16.39,20,68,-1076
16.49,8,56,-1056
16.59,12,56,-1072
16.69,-4,68,-1068
16.79,4,64,-1064
16.89,4,76,-1064
16.99,-4,76,-1084
17.09,-4,76,-1068
17.19,4,76,-1056
17.29,-8,72,-1080
17.39,0,72,-1072
17.49,8,60,-1060
17.59,-4,76,-1060
17.69,8,64,-1072
17.79,4,80,-1072
17.89,12,72,-1052
17.99,-8,76,-1080
18.09,12,76,-1064
18.19,4,72,-1052
18.29,4,84,-1076
18.39,16,64,-1084
18.49,-4,76,-1076
18.59,-12,80,-1092
18.69,8,72,-1064
18.79,-4,60,-1064
18.89,8,72,-1096
18.99,-4,72,-1080
19.09,0,76,-1072
19.19,-4,88,-1072
19.29,-4,76,-1060
19.39,4,84,-1036
19.49,12,32,-1112
19.59,416,56,-1132
19.69,832,0,-756
19.79,792,0,-284
19.89,-828,1004,560
19.99,2040,-1700,-468
20.09,668,-40,264
20.19,-1432,1220,480
20.29,2040,-2040,-336
20.39,176,44,216
20.49,-2040,1552,512
20.59,2040,-2040,32
20.69,396,-112,100
20.79,-1904,1496,568
20.89,2040,-2040,12
20.99,932,-552,168
21.09,-2040,1820,592
21.19,2040,-1808,-84
21.29,1464,-688,-96
21.39,-1956,1516,812
21.49,1396,-1212,40
21.59,2040,-1420,-620
21.69,-1116,860,632
21.79,-188,-432,296
21.89,2040,-1716,-516
21.99,-472,556,644
22.09,-852,512,392
22.19,2040,-1808,-1620
22.29,696,-244,-876
22.39,204,224,-820
22.49,160,300,-936
22.59,16,352,-860
22.69,192,332,-896
22.79,380,216,-976
22.89,332,284,-1012
22.99,328,336,-944
23.09,356,292,-940
23.19,344,316,-904
23.29,332,340,-936
23.39,276,284,-992
